Datetime,H22
2014-09-01T00:00,472.996
2014-09-01T00:15,450.223
2014-09-01T00:30,679.595
2014-09-01T00:45,784.594
2014-09-01T01:00,399.182
2014-09-01T01:15,463.293
2014-09-01T01:30,661.185
2014-09-01T01:45,707.257
2014-09-01T02:00,256.809
2014-09-01T02:15,272.061
2014-09-01T02:30,593.202
2014-09-01T02:45,336.985
2014-09-01T03:00,258.311
2014-09-01T03:15,344.808
2014-09-01T03:30,519.682
2014-09-01T03:45,240.08
2014-09-01T04:00,307.244
2014-09-01T04:15,390.147
2014-09-01T04:30,433.896
2014-09-01T04:45,383.139
2014-09-01T05:00,318.73
2014-09-01T05:15,591.045
2014-09-01T05:30,353.847
2014-09-01T05:45,408.261
2014-09-01T06:00,187.985
2014-09-01T06:15,314.079
2014-09-01T06:30,690.698
2014-09-01T06:45,626.82
2014-09-01T07:00,521.022
2014-09-01T07:15,333.973
2014-09-01T07:30,713.093
2014-09-01T07:45,307.72
2014-09-01T08:00,417.407
2014-09-01T08:15,559.205
2014-09-01T08:30,486.885
2014-09-01T08:45,724.57
2014-09-01T09:00,374.648
2014-09-01T09:15,236.118
2014-09-01T09:30,1601.417
2014-09-01T09:45,2096.029
2014-09-01T10:00,615.353
2014-09-01T10:15,448.317
2014-09-01T10:30,318.579
2014-09-01T10:45,682.498
2014-09-01T11:00,478.652
2014-09-01T11:15,452.052
2014-09-01T11:30,650.623
2014-09-01T11:45,1746.009
2014-09-01T12:00,938.446
2014-09-01T12:15,444.849
2014-09-01T12:30,419.717
2014-09-01T12:45,298.404
2014-09-01T13:00,479.313
2014-09-01T13:15,403.234
2014-09-01T13:30,326.017
2014-09-01T13:45,702.992
2014-09-01T14:00,585.225
2014-09-01T14:15,550.351
2014-09-01T14:30,526.871
2014-09-01T14:45,622.843
2014-09-01T15:00,573.067
2014-09-01T15:15,361.68
2014-09-01T15:30,408.738
2014-09-01T15:45,310.084
2014-09-01T16:00,1508.137
2014-09-01T16:15,850.994
2014-09-01T16:30,542.494
2014-09-01T16:45,346.901
2014-09-01T17:00,356.405
2014-09-01T17:15,391.949
