Datetime,H2
2014-09-01T00:00,0.0
2014-09-01T00:15,0.0
2014-09-01T00:30,0.0
2014-09-01T00:45,0.0
2014-09-01T01:00,0.0
2014-09-01T01:15,0.0
2014-09-01T01:30,0.0
2014-09-01T01:45,0.0
2014-09-01T02:00,0.0
2014-09-01T02:15,0.0
2014-09-01T02:30,0.0
2014-09-01T02:45,0.0
2014-09-01T03:00,0.0
2014-09-01T03:15,0.0
2014-09-01T03:30,0.0
2014-09-01T03:45,0.0
2014-09-01T04:00,0.0
2014-09-01T04:15,0.0
2014-09-01T04:30,0.0
2014-09-01T04:45,0.0
2014-09-01T05:00,0.0
2014-09-01T05:15,0.0
2014-09-01T05:30,0.0
2014-09-01T05:45,0.0
2014-09-01T06:00,0.0
2014-09-01T06:15,18.343
2014-09-01T06:30,36.685
2014-09-01T06:45,55.028
2014-09-01T07:00,73.371
2014-09-01T07:15,122.842
2014-09-01T07:30,172.313
2014-09-01T07:45,221.784
2014-09-01T08:00,271.255
2014-09-01T08:15,294.317
2014-09-01T08:30,317.38
2014-09-01T08:45,340.443
2014-09-01T09:00,363.506
2014-09-01T09:15,435.167
2014-09-01T09:30,506.829
2014-09-01T09:45,578.49
2014-09-01T10:00,650.151
2014-09-01T10:15,653.302
2014-09-01T10:30,656.452
2014-09-01T10:45,659.602
2014-09-01T11:00,662.753
2014-09-01T11:15,641.601
2014-09-01T11:30,620.45
2014-09-01T11:45,599.299
2014-09-01T12:00,578.147
2014-09-01T12:15,700.99
2014-09-01T12:30,823.833
2014-09-01T12:45,946.676
2014-09-01T13:00,1069.519
2014-09-01T13:15,1144.809
2014-09-01T13:30,1220.1
2014-09-01T13:45,1295.39
2014-09-01T14:00,1370.681
2014-09-01T14:15,1378.581
2014-09-01T14:30,1386.481
2014-09-01T14:45,1394.38
2014-09-01T15:00,1402.28
2014-09-01T15:15,1359.324
2014-09-01T15:30,1316.367
2014-09-01T15:45,1273.411
2014-09-01T16:00,1230.454
2014-09-01T16:15,1163.218
2014-09-01T16:30,1095.981
2014-09-01T16:45,1028.745
2014-09-01T17:00,961.508
2014-09-01T17:15,812.46
2014-09-01T17:30,663.412
2014-09-01T17:45,514.364
2014-09-01T18:00,365.316
2014-09-01T18:15,273.987
2014-09-01T18:30,182.658
2014-09-01T18:45,91.329
2014-09-01T19:00,0.0
2014-09-01T19:15,0.0
2014-09-01T19:30,0.0
2014-09-01T19:45,0.0
2014-09-01T20:00,0.0
2014-09-01T20:15,0.0
2014-09-01T20:30,0.0
2014-09-01T20:45,0.0
2014-09-01T21:00,0.0
2014-09-01T21:15,0.0
2014-09-01T21:30,0.0
2014-09-01T21:45,0.0
2014-09-01T22:00,0.0
2014-09-01T22:15,0.0
2014-09-01T22:30,0.0
2014-09-01T22:45,0.0
2014-09-01T23:00,0.0
2014-09-01T23:15,0.0
2014-09-01T23:30,0.0
2014-09-01T23:45,0.0
2014-09-02T00:00,0.0
2014-09-02T00:15,0.0
2014-09-02T00:30,0.0
2014-09-02T00:45,0.0
2014-09-02T01:00,0.0
2014-09-02T01:15,0.0
2014-09-02T01:30,0.0
2014-09-02T01:45,0.0
2014-09-02T02:00,0.0
2014-09-02T02:15,0.0
2014-09-02T02:30,0.0
2014-09-02T02:45,0.0
2014-09-02T03:00,0.0
2014-09-02T03:15,0.0
2014-09-02T03:30,0.0
2014-09-02T03:45,0.0
2014-09-02T04:00,0.0
2014-09-02T04:15,0.0
2014-09-02T04:30,0.0
2014-09-02T04:45,0.0
2014-09-02T05:00,0.0
2014-09-02T05:15,0.0
2014-09-02T05:30,0.0
2014-09-02T05:45,0.0
2014-09-02T06:00,0.0
2014-09-02T06:15,22.489
2014-09-02T06:30,44.978
2014-09-02T06:45,67.467
2014-09-02T07:00,89.956
2014-09-02T07:15,176.983
2014-09-02T07:30,264.01
2014-09-02T07:45,351.037
2014-09-02T08:00,438.064
2014-09-02T08:15,585.241
2014-09-02T08:30,732.418
2014-09-02T08:45,879.595
2014-09-02T09:00,1026.771
2014-09-02T09:15,1103.146
